"Timestamp","Applet","Repo Name","Destination"
"2025-11-02T07:31:55.979Z","internal-sales-invoice-applet","blg-applet-wavelet-internal-sales-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-sales-invoice-applet"
"2025-11-02T08:05:56.947Z","asset-register-applet","blg-applet-wavelet-asset-register-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-asset-register-applet"
"2025-11-02T08:08:24.439Z","bank-recon-applet","blg-applet-wavelet-bank-recon-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-bank-recon-applet"
"2025-11-02T08:11:05.669Z","beauty-pos-applet","blg-applet-wavelet-beauty-pos-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-beauty-pos-applet"
"2025-11-02T08:13:25.649Z","blanket-purchase-order-applet","blg-applet-wavelet-blanket-purchase-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-blanket-purchase-order-applet"
"2025-11-02T08:15:55.791Z","blanket-purchase-order-applet (old)","blg-applet-wavelet-blanket-purchase-order-applet (old)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-blanket-purchase-order-applet (old)"
"2025-11-02T08:18:36.149Z","blanket-purchase-order-applet-supplier-access","blg-applet-wavelet-blanket-purchase-order-applet-supplier-access","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-blanket-purchase-order-applet-supplier-access"
"2025-11-02T08:21:13.219Z","budgetary-applet","blg-applet-wavelet-budgetary-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-budgetary-applet"
"2025-11-02T08:23:53.549Z","car-workshop-applet","blg-applet-wavelet-car-workshop-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-car-workshop-applet"
"2025-11-02T08:26:13.529Z","cashbook-applet (obsolete)","blg-applet-wavelet-cashbook-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-cashbook-applet (obsolete)"
"2025-11-02T08:28:30.551Z","cashbook-v3-applet","blg-applet-wavelet-cashbook-v3-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-cashbook-v3-applet"
"2025-11-02T08:33:12.401Z","chart-of-account-applet","blg-applet-wavelet-chart-of-account-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-chart-of-account-applet"
"2025-11-02T08:37:43.484Z","claim-applet","blg-applet-wavelet-claim-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-claim-applet"
"2025-11-02T08:40:50.344Z","claim-cycle-applet","blg-applet-wavelet-claim-cycle-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-claim-cycle-applet"
"2025-11-02T08:43:36.069Z","commission-scheme-applet","blg-applet-wavelet-commission-scheme-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-commission-scheme-applet"
"2025-11-02T08:46:31.575Z","consignee-stock-transfer-applet","blg-applet-wavelet-consignee-stock-transfer-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-consignee-stock-transfer-applet"
"2025-11-02T08:49:15.297Z","creditor-report-applet","blg-applet-wavelet-creditor-report-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-creditor-report-applet"
"2025-11-02T08:52:11.033Z","creditor-report-applet-V2","blg-applet-wavelet-creditor-report-applet-V2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-creditor-report-applet-V2"
"2025-11-02T08:55:07.175Z","custom-processor-applet","blg-applet-wavelet-custom-processor-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-custom-processor-applet"
"2025-11-02T08:58:16.639Z","customer-consignment-applet","blg-applet-wavelet-customer-consignment-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-customer-consignment-applet"
"2025-11-02T09:06:42.371Z","daily-cashier-reports-applet","blg-applet-wavelet-daily-cashier-reports-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-daily-cashier-reports-applet"
"2025-11-02T09:07:32.345Z","debtor-and-creditor-report-applet","blg-applet-wavelet-debtor-and-creditor-report-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-debtor-and-creditor-report-applet"
"2025-11-02T09:08:25.359Z","debtor-report-applet","blg-applet-wavelet-debtor-report-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-debtor-report-applet"
"2025-11-02T09:09:12.981Z","debtor-report-applet-V2","blg-applet-wavelet-debtor-report-applet-V2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-debtor-report-applet-V2"
"2025-11-02T09:10:13.420Z","delivery-installation-applet","blg-applet-wavelet-delivery-installation-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-delivery-installation-applet"
"2025-11-02T09:11:12.517Z","delivery-installation-applet-V2","blg-applet-wavelet-delivery-installation-applet-V2","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-delivery-installation-applet-V2"
"2025-11-02T09:12:03.252Z","delivery-installation-driver-applet","blg-applet-wavelet-delivery-installation-driver-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-delivery-installation-driver-applet"
"2025-11-02T09:13:01.445Z","deposit-applet","blg-applet-wavelet-deposit-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-deposit-applet"
"2025-11-02T09:13:49.812Z","design-workflow-applet (obsolete)","blg-applet-wavelet-design-workflow-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-design-workflow-applet (obsolete)"
"2025-11-02T09:14:34.395Z","driver-delivery-order-applet","blg-applet-wavelet-driver-delivery-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-driver-delivery-order-applet"
"2025-11-02T09:15:20.119Z","engagement-applet","blg-applet-wavelet-engagement-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-engagement-applet"
"2025-11-02T09:16:05.813Z","events-management-applet","blg-applet-wavelet-events-management-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-events-management-applet"
"2025-11-02T09:16:53.895Z","external-sales-invoice-applet","blg-applet-wavelet-external-sales-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-external-sales-invoice-applet"
"2025-11-02T09:17:48.760Z","external-sales-invoice-applet (obsolete)","blg-applet-wavelet-external-sales-invoice-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-external-sales-invoice-applet (obsolete)"
"2025-11-02T09:18:30.311Z","financial-report-applet","blg-applet-wavelet-financial-report-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-financial-report-applet"
"2025-11-02T09:19:09.684Z","forex-applet","blg-applet-wavelet-forex-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-forex-applet"
"2025-11-02T09:19:47.911Z","grn-applet (obsolete)","blg-applet-wavelet-grn-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-grn-applet (obsolete)"
"2025-11-02T09:20:29.330Z","internal-consignment-billing-applet","blg-applet-wavelet-internal-consignment-billing-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignment-billing-applet"
"2025-11-02T09:21:11.959Z","internal-consignment-gin-applet","blg-applet-wavelet-internal-consignment-gin-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignment-gin-applet"
"2025-11-02T09:21:52.616Z","internal-consignment-grn-applet","blg-applet-wavelet-internal-consignment-grn-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignment-grn-applet"
"2025-11-02T09:22:35.269Z","internal-consignment-purchase-order-applet","blg-applet-wavelet-internal-consignment-purchase-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignment-purchase-order-applet"
"2025-11-02T09:23:17.707Z","internal-consignment-return-applet","blg-applet-wavelet-internal-consignment-return-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignment-return-applet"
"2025-11-02T09:24:06.569Z","internal-consignor-purchase-billing-applet","blg-applet-wavelet-internal-consignor-purchase-billing-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-consignor-purchase-billing-applet"
"2025-11-02T09:24:50.883Z","internal-goods-delivery-note-applet","blg-applet-wavelet-internal-goods-delivery-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-goods-delivery-note-applet"
"2025-11-02T09:25:38.059Z","internal-goods-dispatch-note-applet","blg-applet-wavelet-internal-goods-dispatch-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-goods-dispatch-note-applet"
"2025-11-02T09:26:26.360Z","internal-inbound-delivery-order-applet","blg-applet-wavelet-internal-inbound-delivery-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-inbound-delivery-order-applet"
"2025-11-02T09:27:12.029Z","internal-job-sheet-applet (old for reference)","blg-applet-wavelet-internal-job-sheet-applet (old for reference)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-job-sheet-applet (old for reference)"
"2025-11-02T09:27:57.340Z","internal-jobsheet-applet","blg-applet-wavelet-internal-jobsheet-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-jobsheet-applet"
"2025-11-02T09:28:41.869Z","internal-outbound-delivery-order-applet","blg-applet-wavelet-internal-outbound-delivery-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-outbound-delivery-order-applet"
"2025-11-02T09:29:21.234Z","internal-packing-order-applet","blg-applet-wavelet-internal-packing-order-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-packing-order-applet"
"2025-11-02T09:30:11.683Z","internal-payment-voucher-applet","blg-applet-wavelet-internal-payment-voucher-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-payment-voucher-applet"
"2025-11-02T09:30:52.547Z","internal-payment-voucher-applet-old","blg-applet-wavelet-internal-payment-voucher-applet-old","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-payment-voucher-applet-old"
"2025-11-02T09:31:40.029Z","internal-purchase-credit-note-applet","blg-applet-wavelet-internal-purchase-credit-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-credit-note-applet"
"2025-11-02T09:32:24.643Z","internal-purchase-credit-note-supplier-access-applet","blg-applet-wavelet-internal-purchase-credit-note-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-credit-note-supplier-access-applet"
"2025-11-02T09:33:13.669Z","internal-purchase-debit-note-applet","blg-applet-wavelet-internal-purchase-debit-note-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-debit-note-applet"
"2025-11-02T09:33:55.232Z","internal-purchase-gin-applet","blg-applet-wavelet-internal-purchase-gin-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-gin-applet"
"2025-11-02T09:34:40.979Z","internal-purchase-grn-applet","blg-applet-wavelet-internal-purchase-grn-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-applet"
"2025-11-02T09:35:32.106Z","internal-purchase-grn-stock-in-applet","blg-applet-wavelet-internal-purchase-grn-stock-in-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-stock-in-applet"
"2025-11-02T09:36:16.019Z","internal-purchase-grn-stock-in-applet (obsolete)","blg-applet-wavelet-internal-purchase-grn-stock-in-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-stock-in-applet (obsolete)"
"2025-11-02T09:37:02.973Z","internal-purchase-grn-supplier-access-applet","blg-applet-wavelet-internal-purchase-grn-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-grn-supplier-access-applet"
"2025-11-02T09:37:50.059Z","internal-purchase-invoice-applet","blg-applet-wavelet-internal-purchase-invoice-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-applet"
"2025-11-02T09:38:45.479Z","internal-purchase-invoice-no-stock-in-applet","blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet"
"2025-11-02T09:39:34.119Z","internal-purchase-invoice-no-stock-in-applet (obsolete)","blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet (obsolete)","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-no-stock-in-applet (obsolete)"
"2025-11-02T09:40:14.750Z","internal-purchase-invoice-supplier-access-applet","blg-applet-wavelet-internal-purchase-invoice-supplier-access-applet","C:\Users\Anthony\Desktop\split-output\blg-applet-wavelet-internal-purchase-invoice-supplier-access-applet"
